Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr),End Time of Year (hr),Type
2E6,3.0,-3.90000000000029,SHWR,1.3630000000000002,55.135000000000005,7.135000000000005,55.07,3.0
1E9,3.0,0.524,SHWR & FAUC,2.011,55.07,7.07,55.07873333333333,3.0
2E6,3.0,1.2760000000001526,SHWR,1.3630000000000002,55.07873333333333,7.078733333333332,55.1,3.0
1E9,3.0,0.39299999999999996,SHWR & FAUC,2.0540000000000003,55.1,7.100000000000001,55.10655,3.0
2E6,3.0,1.763000000000119,SHWR,1.3630000000000002,55.10655,7.106549999999999,55.135933333333334,3.0
1E9,3.0,0.7859999999999999,FAUC,1.44,55.15,7.149999999999999,55.1631,1.0
1E9,3.0,0.131,FAUC,1.2670000000000001,55.28,7.280000000000001,55.282183333333336,1.0
1E9,3.0,2.400000000000375,CWSH,1.599,55.91,7.909999999999997,55.95,3.0
2E6,3.0,0.142,CWSH & FAUC,2.002,55.95,7.950000000000003,55.95236666666667,3.0
1E9,3.0,0.9579999999994016,CWSH,1.599,55.95236666666667,7.95236666666667,55.96833333333333,3.0
2E6,3.0,0.285,FAUC,0.461,56.019999999999996,8.019999999999996,56.02475,1.0
2E6,3.0,0.142,FAUC,0.28800000000000003,56.13,8.130000000000003,56.13236666666667,1.0
1E9,3.0,0.131,FAUC,1.7280000000000002,56.18,8.18,56.182183333333334,1.0
1E9,3.0,0.262,FAUC,1.296,56.2,8.200000000000003,56.20436666666667,1.0
1E9,3.0,0.131,FAUC,1.2670000000000001,56.22,8.219999999999999,56.222183333333334,1.0
1E9,3.0,1.6669999999999998,CWSH,1.223,56.25,8.25,56.27778333333333,2.0
2E6,3.0,0.42700000000000005,FAUC,0.7490000000000001,56.26,8.259999999999998,56.267116666666666,1.0
1E9,3.0,0.39299999999999996,FAUC,2.842,56.269999999999996,8.269999999999996,56.27654999999999,1.0
2E6,3.0,0.142,FAUC,0.8059999999999999,56.28,8.280000000000001,56.28236666666667,1.0
1E9,3.0,4.5,CWSH,1.179,56.3,8.299999999999997,56.375,1.0
2E6,3.0,0.285,FAUC,0.259,56.4,8.399999999999999,56.40475,1.0
2E6,3.0,0.8540000000000001,FAUC,0.586,56.44,8.439999999999998,56.454233333333335,1.0
2E6,3.0,0.142,FAUC,0.34600000000000003,56.47,8.469999999999999,56.472366666666666,1.0
1E9,3.0,0.7859999999999999,FAUC,1.1520000000000001,56.59,8.590000000000003,56.603100000000005,1.0
1E9,3.0,0.7859999999999999,FAUC,1.3630000000000002,56.61,8.61,56.6231,1.0
1E9,3.0,0.655,FAUC,1.117,56.64,8.64,56.65091666666667,1.0
1E9,3.0,0.262,FAUC,1.296,56.66,8.659999999999997,56.664366666666666,1.0
1E9,3.0,0.131,FAUC,0.8640000000000001,56.95,8.950000000000003,56.95218333333334,1.0
1E9,3.0,0.524,FAUC,1.944,57.76,9.759999999999998,57.76873333333333,1.0
1E9,3.0,0.262,FAUC,0.43200000000000005,58.269999999999996,10.269999999999996,58.274366666666666,1.0
1E9,3.0,0.262,FAUC,2.362,58.5,10.5,58.50436666666667,1.0
1E9,3.0,0.262,FAUC,1.354,58.54,10.54,58.54436666666667,1.0
1E9,3.0,0.262,FAUC,1.526,58.6,10.600000000000001,58.60436666666667,1.0
