Day,Day of Year (Day),Duration (min),Fixture,Flow Rate (gpm),Start Time of Year (hr),Start time (hr)
3D8,9.0,0.124,FAUC,0.7490000000000001,208.57,16.57
3D8,9.0,0.124,FAUC,0.7490000000000001,209.36,17.36
3D8,9.0,0.124,FAUC,0.7490000000000001,209.37,17.37
3D8,9.0,0.249,FAUC,0.7490000000000001,209.38,17.38
3D8,9.0,0.124,FAUC,0.7490000000000001,209.38,17.38
3D8,9.0,0.249,FAUC,0.547,209.97,17.97
3D8,9.0,0.249,FAUC,0.7490000000000001,209.98,17.98
3D8,9.0,0.249,FAUC,0.547,210.01,18.01
3D8,9.0,0.373,FAUC,1.133,210.02,18.02
3D8,9.0,0.373,FAUC,1.133,210.23,18.23
3D8,9.0,0.249,FAUC,0.7490000000000001,210.27,18.27
3D8,9.0,0.249,FAUC,1.8719999999999999,210.31,18.31
3D8,9.0,0.249,FAUC,1.325,210.35,18.35
3D8,9.0,0.124,FAUC,0.7490000000000001,210.85,18.85
3D8,9.0,0.124,FAUC,0.7490000000000001,210.97,18.97
3D8,9.0,0.249,FAUC,0.95,211.47,19.47
3D8,9.0,0.373,FAUC,1.229,211.54,19.54
3D8,9.0,0.124,FAUC,1.4980000000000002,211.62,19.62
3D8,9.0,1.7409999999999999,FAUC,1.633,212.32999999999998,20.33
3D8,9.0,2.238,FAUC,0.586,212.37,20.37
3D8,9.0,0.249,FAUC,0.547,212.46,20.46
3D8,9.0,0.124,FAUC,1.4980000000000002,212.48,20.48
3D8,9.0,0.373,FAUC,1.248,212.51,20.51
3D8,9.0,1.8330000000000002,DWSH,1.012,213.22,21.22
3D8,9.0,1.6669999999999998,DWSH,0.987,213.38,21.38
3D8,9.0,2.667,CWSH,2.279,213.42000000000002,21.42
3D8,9.0,0.87,FAUC,0.535,213.47,21.47
3D8,9.0,0.124,FAUC,1.094,213.49,21.49
3D8,9.0,1.119,FAUC,1.5490000000000002,213.49,21.49
3D8,9.0,0.49700000000000005,FAUC,1.598,213.69,21.69
3D8,9.0,0.373,FAUC,0.634,213.81,21.81
3D8,9.0,3.5,CWSH,1.619,213.82999999999998,21.83
3D8,9.0,1.5,DWSH,0.9990000000000001,213.84,21.84
3D8,9.0,0.33299999999999996,CWSH,1.4080000000000001,213.99,21.99
3D8,9.0,0.33299999999999996,CWSH,1.314,214.0,22.0
3D8,9.0,0.249,FAUC,0.95,214.16,22.16
3D8,9.0,0.49700000000000005,FAUC,1.5119999999999998,214.79,22.79
3D8,9.0,0.49700000000000005,FAUC,0.619,214.85,22.85
3D8,9.0,0.249,FAUC,0.95,214.88,22.88
3D8,9.0,0.249,FAUC,0.95,214.9,22.9
3D8,9.0,0.373,FAUC,0.634,214.91,22.91
3D8,9.0,0.49700000000000005,FAUC,0.778,214.97,22.97
5E0,10.0,0.16699999999999998,FAUC,0.34600000000000003,226.82,10.82
1E1,11.0,16.245,SHWR,2.0,248.79,8.79
1E1,11.0,5.895,FAUC,1.17,249.28,9.28
1E1,11.0,0.39299999999999996,FAUC,0.902,249.43,9.43
